*//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
开心影视,#genre#
经典功夫,http://cfss.cc/cdn/yy/1355002394.flv
经典电影,http://cfss.cc/cdn/yy/1355260662.flv
动作电影,http://117.43.217.34:20000/hls/68/index.m3u8
高清电影,http://117.43.217.34:20000/hls/67/index.m3u8
家庭电影,http://117.43.217.34:20000/hls/66/index.m3u8
CCTV1👉全网,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8#http://220.181.167.237/liveali-tpgq.cctv.cn/live/cctv1.m3u8
CCTV1👉移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1👉电信,http://219.147.200.9:18080/newlive/live/hls/1/live.m3u8
路由器要支持ipv6,http://159.75.85.63:35455/douyu/508118
央视频,#genre#
CCTV-4k,http://8.146.199.204:33/21/ysp.php?id=cctv4k
CCTV8k,http://8.146.199.204:33/21/ysp.php?id=cctv8k
CCTV1,http://8.146.199.204:33/21/ysp.php?id=cctv1
CCTV2,http://8.146.199.204:33/21/ysp.php?id=cctv2
CCTV3(vip),http://8.146.199.204:33/21/ysp.php?id=cctv3
CCTV4,http://8.146.199.204:33/21/ysp.php?id=cctv4
CCTV5,http://8.146.199.204:33/21/ysp.php?id=cctv5
CCTV5+,http://8.146.199.204:33/21/ysp.php?id=cctv5p
CCTV6(vip),http://8.146.199.204:33/21/ysp.php?id=cctv6
CCTV6(vip),http://8.146.199.204:33/21/ysp.php?id=cctv6hd
CCTV7,http://8.146.199.204:33/21/ysp.php?id=cctv7
CCTV8(vip),http://8.146.199.204:33/21/ysp.php?id=cctv8
CCTV9,http://8.146.199.204:33/21/ysp.php?id=cctv9
CCTV10,http://8.146.199.204:33/21/ysp.php?id=cctv10
CCTV11,http://8.146.199.204:33/21/ysp.php?id=cctv11
CCTV12,http://8.146.199.204:33/21/ysp.php?id=cctv12
CCTV13,http://8.146.199.204:33/21/ysp.php?id=cctv13
CCTV14,http://8.146.199.204:33/21/ysp.php?id=cctv14
CCTV15,http://8.146.199.204:33/21/ysp.php?id=cctv15
CCTV16,http://8.146.199.204:33/21/ysp.php?id=cctv16
CCTV16-4k(vip),http://8.146.199.204:33/21/ysp.php?id=cctv16-4k
CCTV17,http://8.146.199.204:33/21/ysp.php?id=cctv17
CCTV兵器科技(vip),http://8.146.199.204:33/21/ysp.php?id=bqkj
CCTV第一剧场(vip),http://8.146.199.204:33/21/ysp.php?id=dyjc
CCTV怀旧剧场(vip),http://8.146.199.204:33/21/ysp.php?id=hjjc
CCTV风云剧场(vip),http://8.146.199.204:33/21/ysp.php?id=fyjc
CCTV风云音乐(vip),http://8.146.199.204:33/21/ysp.php?id=fyyy
CCTV风云足球(vip),http://8.146.199.204:33/21/ysp.php?id=fyzq
CCTV电视指南(vip),http://8.146.199.204:33/21/ysp.php?id=dszn
CCTV女性时尚(vip),http://8.146.199.204:33/21/ysp.php?id=nxss
CCTV央视文化精品(vip),http://8.146.199.204:33/21/ysp.php?id=whjp
CCTV世界地理(vip),http://8.146.199.204:33/21/ysp.php?id=sjdl
CCTV高尔夫网球(vip),http://8.146.199.204:33/21/ysp.php?id=gefwq
CCTV央视台球(vip),http://8.146.199.204:33/21/ysp.php?id=ystq
CCTV卫生健康(vip),http://8.146.199.204:33/21/ysp.php?id=wsjk
    //央视国际
CGTN,http://8.146.199.204:33/21/ysp.php?id=cgtn
CGTN纪录,http://8.146.199.204:33/21/ysp.php?id=cgtnjl
CGTN西语,http://8.146.199.204:33/21/ysp.php?id=cgtne
CGTN法语,http://8.146.199.204:33/21/ysp.php?id=cgtnf
CGTN阿语,http://8.146.199.204:33/21/ysp.php?id=cgtna
CGTN俄语,http://8.146.199.204:33/21/ysp.php?id=cgtnr
    //卫视
北京卫视,http://8.146.199.204:33/21/ysp.php?id=bjws
东方卫视,http://8.146.199.204:33/21/ysp.php?id=dfws
天津卫视,http://8.146.199.204:33/21/ysp.php?id=tjws
重庆卫视,http://8.146.199.204:33/21/ysp.php?id=cqws
黑龙江卫视,http://8.146.199.204:33/21/ysp.php?id=hljws
辽宁卫视,http://8.146.199.204:33/21/ysp.php?id=lnws
河北卫视,http://8.146.199.204:33/21/ysp.php?id=hbws
山东卫视,http://8.146.199.204:33/21/ysp.php?id=sdws
安徽卫视,http://8.146.199.204:33/21/ysp.php?id=ahws
河南卫视,http://8.146.199.204:33/21/ysp.php?id=hnws
湖北卫视,http://8.146.199.204:33/21/ysp.php?id=hubws
湖南卫视,http://8.146.199.204:33/21/ysp.php?id=hunws
江西卫视,http://8.146.199.204:33/21/ysp.php?id=jxws
江苏卫视,http://8.146.199.204:33/21/ysp.php?id=jsws
浙江卫视,http://8.146.199.204:33/21/ysp.php?id=zjws
东南卫视,http://8.146.199.204:33/21/ysp.php?id=dnws
广东卫视,http://8.146.199.204:33/21/ysp.php?id=gdws
深圳卫视,http://8.146.199.204:33/21/ysp.php?id=szws
广西卫视,http://8.146.199.204:33/21/ysp.php?id=gxws
贵州卫视,http://8.146.199.204:33/21/ysp.php?id=gzws
四川卫视,http://8.146.199.204:33/21/ysp.php?id=scws
新疆卫视,http://8.146.199.204:33/21/ysp.php?id=xjws
海南卫视,http://8.146.199.204:33/21/ysp.php?id=hinws
兵团卫视,http://8.146.199.204:33/21/ysp.php?id=btws
央视频道,#genre#
CCTV4K,http://8.146.199.204:33/21/ysp.php?id=cctv4k
CCTV8K,http://8.146.199.204:33/21/ysp.php?id=cctv8k
CCTV1,http://8.146.199.204:33/21/ysp.php?id=cctv1
CCTV2,http://8.146.199.204:33/21/ysp.php?id=cctv2
CCTV3,http://8.146.199.204:33/21/ysp.php?id=cctv3
CCTV4,http://8.146.199.204:33/21/ysp.php?id=cctv4
CCTV5,http://8.146.199.204:33/21/ysp.php?id=cctv5
CCTV5+,http://8.146.199.204:33/21/ysp.php?id=cctv5p
